040701100100,Allegany-Limestone Central School District,Cattaraugus,Central,2013-06-30 00:00:00,1186,413346465,22655000,6150417,,1476621,98736,,7284,,,,,,,,,,,14086,,,,,,,,,,6495,,,,,,,,,,,,,15928,3816,213002,,,21253,,,3817,,274189,8285644,,12959931,,,,,,,,,,,,,,515605,,,,247453,,,,,,,22008633,11184000,,,2987382,,36180015,1483334,1231458,,2169,,,9986016,1114859,589663,1074376,187300,,4316,,,,,,,,,,,,,,,,,,,,,,,26023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373838,,856597,,701339,1660056,,,94352,22456,40047,54530,1885000,819888,22207617,2984875,25192492
350700600200,Altmar-Parish-Williamstown Central School District,Oswego,Central,2013-06-30 00:00:00,1310,369254741,33838055,5519005,,1461854,395382,,33186,,,,,,,,,,,39882,,,,,,,,,,,,,,,,,,,,,,,20802,460,1035883,,,21110,,,4955,,514538,9047057,,20929204,,,,,,,,,,,,,,1524375,,,,422625,,,,,,,31923261,17301945,,2668055,6361915,,58255176,4431835,982165,,,,,13243685,1335932,922152,1908526,315243,,3069,,,,,,,,,,,,,,,,,,,,,,,110752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658805,,1076641,,880215,3132500,,7824,202939,87001,,265488,1925000,2219062,33708834,6361915,40070749
470925000300,Amagansett Union Free School District,Suffolk,Union Free,2013-06-30 00:00:00,95,3712651375,490000,8384872,,46099,36301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6152,,,,,,,,,,49040,8522464,,305751,,,,,,,,,,,,,,25748,,,,1850,,,,,,,8855813,,,,384000,,9239813,737331,671397,,,,,4980168,140815,212116,183114,83458,,,,,,,,,,,,,,,,,,,,,,,,,16403,,,,,,,,,,,,,,,,,,,,,,,,632,,,,,,,,,,,,144224,,311826,,272612,669387,19377,,102849,6293,,,225000,36644,8813646,384000,9197646
140601900100,Amherst Central School District,Erie,Independent Superintendent,2013-06-30 00:00:00,2872,1494215066,20395768,26278364,,5108436,255716,,7343,,,3114722,,,,,,,,709329,,,,,,,,,,18131,,,,321254,,,,,,,,,31144,64935,434214,,,8152,,,250,,211033,36563023,,11401949,,,,,,,,,,,,,,1141153,,,,1020539,,,,,,,50126664,,,,1930212,,52056876,3412387,1617978,,,,850,24734574,2213730,2037479,2191782,694661,,53186,,,,,,,,,,,,,,,,,,,,,,,3900,,,,,,,,,,,,,,,,,,,,,7806,,,,,,,,,,,,,,,902638,,2399004,,1896012,4282055,,16637,257890,6751,,286379,2050639,798696,49865034,1941894,51806928
470604600600,Amityville Union Free School District,Suffolk,Independent Superintendent,2013-06-30 00:00:00,2936,2526005161,10100000,45840862,,6903825,338961,,,,,,,,,,,,,970573,,,,,,,,,,,,,,144071,,,,,,,,,33280,2208,283449,,,,,,912,,386673,54904814,,19568984,,,,,,,,,,,,,,2324581,,,,1101118,,,,,,,77899497,,,,147657,,78047154,4783822,1892145,,,,12566,42592872,3262174,2735063,5855887,668139,,310,,,,,,,,,,,,,,,,,,,,,,,4414,,,,,,,,,,,,,,,15144,,,,,,791,,,,,,,,,,,,,,,992308,,3206048,,2574322,5726456,27401,12655,583787,110969,,1015935,1175000,535542,77783750,147657,77931407
270502000000,Amsterdam City School District,Montgomery,City Public School,2013-06-30 00:00:00,3604,1026410721,70160000,16806219,,4232226,1009143,,176023,,,,,,,,,,,33429,,,,,,,,,,15327,,,,24131,,,,,,,,,176041,80461,229924,,146500,161970,,,11118,,720562,23823074,,35224948,,,,,,,,,,,,,,3051073,,,,1491394,,,,,,,63590489,,1765000,,684492,,66039981,7250455,1293129,,,,,28168709,2324744,864369,3919584,368321,,8750,,,,,,,,,,,,,,,,,,,,,,,70410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689608,,2595525,,1790930,8652329,,2000,135081,25114,,992133,4870000,2198435,66219626,684492,66904118
120702300200,Andes Central School District,Delaware,Central,2013-06-30 00:00:00,115,395204105,1257078,2581322,,138148,,,2601,,,,,,,,,,,8108,,,,,,,,,,,,,,,,,,,,,,1452,4937,,36450,,,13095,,,7948,,110753,2904814,,685505,,,,,,,,,,,,,,115940,,,,37070,,,,,,,3743329,42078,,,45005,,3830412,512840,371341,,,,,1537609,165910,70672,222398,38418,,6217,,,,,,,,,,,,,,,,,,,,,,,19039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45258,,144341,,128943,456844,,,7684,3786,,7640,100000,54830,3893770,45005,3938775
020702400100,Andover Central School District,Allegany,Central,2013-06-30 00:00:00,301,93971805,6690021,1876527,,596568,,,1598,,,,,,,,,,,18521,,,,,,,,,,2014,,,,,,,,,,,,,8312,3000,75129,,,2189,,,10453,,135851,2730162,,4852299,,,,,,,,,,,,,,309967,,,,149484,,,,,,,8041912,,,,260503,,8302415,584375,592537,,,,,3450167,355595,212022,290634,114890,,5954,,,,,,,,,,,,,,,,,,,,,,,18158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171185,,288834,,252494,543864,,,30452,14861,,40688,690000,222044,7878754,262632,8141386
550634200500,Ardsley Union Free School District,Westchester,Independent Superintendent,2013-06-30 00:00:00,2018,2036431290,28841592,40745420,,5587419,3263,,,,,469260,,,,,,,,3248478,,,,,,,,,,651390,,,,31692,261610,,,,,,,93167,48922,179248,509513,,,,,,112874,,463819,52406075,,5843418,,,,,,,,,,,,,,459998,,,,98786,,,,,,,58808277,210370,,,3845225,,62863872,3347902,1283068,,,,538508,27209559,2280927,2632921,2172646,905617,,11675,,,,,,,,,,,,,,,,,,,,,,,75450,,,,,,,,,,,,,,,493175,,,,,,,,,,,,,,,,,,,,,677548,,2890601,,2154535,5410302,2374,8300,191834,56744,381060,122834,2529273,1186018,56562871,3845225,60408096
530703000100,Argyle Central School District,Washington,Central,2013-06-30 00:00:00,570,272529654,1255000,3622829,,667664,,,10882,,,,,,,,,,,99812,,,,,,,,,,9321,,,,,,,,,,,,,9211,,108776,,,152,,,,,192996,4721643,,6012348,,,,,,,,,,,,,,289552,,,,180308,,,,,,,11203851,,,,31609,,11235460,828494,324181,,,,,5540086,642088,171530,633423,113321,,,,,,,,,,,,,,,,,,,,,,,,,15560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363568,,440476,,339715,1457754,,,50203,17998,,115205,440000,61445,11555047,31609,11586656
